Record_ID,Customer_ID,State,Plan_Type,Usage_Date,Time_Block,Cleaned_Usage_kWh,Applied_Rate_kWh,Supply_Charge
REC-000001,CUST-03161,VIC,"Solar Saver",2026-01-04,Peak,21.703885541463386,0.38,1.3
REC-000002,CUST-03372,QLD,"Standard Variable",2026-02-07,Peak,17.884854121785672,0.32,1.15
REC-000004,CUST-03352,VIC,"Standard Variable",2026-01-30,Peak,21.417312578146642,0.32,1.15
REC-000005,CUST-00461,NSW,"Solar Saver",2026-02-23,Off-Peak,16.534615873043993,0.18,1.3
REC-000006,CUST-02118,QLD,"EV Premium",2026-03-06,Peak,12.659776043990526,0.45,1.5
REC-000008,CUST-01607,NSW,"Standard Variable",2026-02-18,Peak,13.20827391664896,0.32,1.15
REC-000009,CUST-00072,NSW,"EV Premium",2026-01-31,Peak,12.626524448517644,0.45,1.5
REC-000011,CUST-00707,VIC,"Solar Saver",2026-02-19,Shoulder,5.491723043591639,0.28,NULL
REC-000012,CUST-01929,QLD,"Solar Saver",2026-01-23,Off-Peak,14.132946292519454,0.18,1.3
REC-000013,CUST-02799,ACT,"Solar Saver",2026-03-19,Peak,10.49350435378827,0.38,1.3
REC-000016,CUST-00030,NSW,"Solar Saver",2026-02-01,Peak,14.13435599224031,0.38,1.3
REC-000018,CUST-03312,QLD,"Solar Saver",2026-02-25,Peak,17.59407496074298,0.38,1.3
REC-000020,CUST-01875,QLD,"EV Premium",2026-02-03,Shoulder,13.521102963651213,0.28500000000000003,NULL
REC-000023,CUST-01572,NSW,"Solar Saver",2026-03-27,Off-Peak,18.401466100798455,0.18,1.3
REC-000025,CUST-02438,VIC,"Standard Variable",2026-03-07,Peak,11.36917648788384,0.32,1.15
REC-000027,CUST-00582,ACT,"Green Gas Hybrid",2026-01-14,Off-Peak,9.99894306518588,NULL,NULL
REC-000028,CUST-02255,WA,"EV Premium",2026-02-07,Peak,19.441873343589602,0.45,1.5
REC-000030,CUST-00601,NSW,"Standard Variable",2026-02-06,Off-Peak,11.76838157827704,0.22,1.15
REC-000033,CUST-00810,NSW,"Solar Saver",2026-01-08,Off-Peak,13.238845848190927,0.18,1.3
REC-000034,CUST-02486,ACT,"Standard Variable",2026-01-21,Shoulder,22.75144831408776,0.27,NULL
REC-000036,CUST-01447,QLD,"EV Premium",2026-02-17,Off-Peak,17.69739887705994,0.12,1.5
REC-000037,CUST-00469,NSW,"EV Premium",2026-01-18,Peak,21.23602468736258,0.45,1.5
REC-000038,CUST-00630,NSW,"Solar Saver",2026-03-04,Peak,15.193340859061975,0.38,1.3
REC-000039,CUST-03383,NSW,"EV Premium",2026-03-24,Off-Peak,15.607728156274785,0.12,1.5
REC-000041,CUST-00114,WA,"Solar Saver",2026-01-09,Off-Peak,7.5984768523025235,0.18,1.3
REC-000042,CUST-01226,QLD,"Solar Saver",2026-03-28,Shoulder,11.556883851092122,0.28,NULL
REC-000044,CUST-01617,NT,"Standard Variable",2026-03-27,Off-Peak,10.944781159111644,0.22,1.15
REC-000053,CUST-02538,NSW,"EV Premium",2026-02-15,Shoulder,9.17372306941617,0.28500000000000003,NULL
REC-000054,CUST-03175,NSW,"Standard Variable",2026-03-23,Off-Peak,17.598088582039196,0.22,1.15
REC-000056,CUST-02223,NSW,"Standard Variable",2026-03-12,Shoulder,13.900743264725053,0.27,NULL
REC-000058,CUST-00052,QLD,"Solar Saver",2026-02-22,Peak,5.785060876900204,0.38,1.3
REC-000059,CUST-02345,SA,"Solar Saver",2026-01-19,Off-Peak,20.306169801732462,0.18,1.3
REC-000065,CUST-01659,VIC,"Standard Variable",2026-01-17,Peak,15.208369482233412,0.32,1.15
REC-000071,CUST-00636,VIC,"Green Gas Hybrid",2026-01-26,Peak,13.007583153541898,NULL,NULL
REC-000073,CUST-00175,QLD,"Standard Variable",2026-01-24,Shoulder,13.312133328778167,0.27,NULL
REC-000081,CUST-02144,VIC,"Standard Variable",2026-03-21,Off-Peak,15.215918403378927,0.22,1.15
REC-000083,CUST-01475,VIC,"EV Premium",2026-03-07,Off-Peak,16.691236788024767,0.12,1.5
REC-000087,CUST-00330,NSW,"EV Premium",2026-01-14,Peak,13.199859592726416,0.45,1.5
REC-000088,CUST-02674,NSW,"Standard Variable",2026-02-16,Shoulder,16.33238943117576,0.27,NULL
REC-000092,CUST-00890,NSW,"Standard Variable",2026-02-09,Peak,17.838971697947866,0.32,1.15
REC-000103,CUST-01126,VIC,"EV Premium",2026-03-26,Off-Peak,10.478159222240564,0.12,1.5
REC-000104,CUST-02040,NSW,"Standard Variable",2026-03-18,Off-Peak,24.218114630447346,0.22,1.15
REC-000106,CUST-02850,VIC,"Solar Saver",2026-01-01,Peak,13.441833082181324,0.38,1.3
REC-000107,CUST-03367,VIC,"Standard Variable",2026-03-02,Off-Peak,25.17877000727367,0.22,1.15
REC-000108,CUST-02912,NSW,"Green Gas Hybrid",2026-03-26,Peak,3.293018579484775,NULL,NULL
REC-000109,CUST-02592,WA,"Solar Saver",2026-03-10,Off-Peak,20.23348359882671,0.18,1.3
REC-000113,CUST-00245,NSW,"Standard Variable",2026-03-13,Peak,9.31820149575012,0.32,1.15
REC-000118,CUST-01779,NSW,"EV Premium",2026-03-05,Off-Peak,7.028686777127043,0.12,1.5
REC-000128,CUST-01955,NT,"EV Premium",2026-03-23,Off-Peak,13.170144990425538,0.12,1.5
REC-000132,CUST-01632,VIC,"Green Gas Hybrid",2026-01-16,Shoulder,17.93303571669083,NULL,NULL
REC-000134,CUST-03666,VIC,"EV Premium",2026-01-25,Shoulder,18.643793682354154,0.28500000000000003,NULL
REC-000137,CUST-00870,SA,"Standard Variable",2026-02-03,Peak,12.447959355462714,0.32,1.15
REC-000139,CUST-03192,SA,"Standard Variable",2026-01-16,Off-Peak,13.000802787216884,0.22,1.15
REC-000140,CUST-03120,NSW,"Standard Variable",2026-01-16,Peak,20.322814341166865,0.32,1.15
REC-000141,CUST-02116,NSW,"Standard Variable",2026-02-07,Off-Peak,16.439082423384217,0.22,1.15
REC-000143,CUST-00377,WA,"Standard Variable",2026-02-01,Shoulder,16.994336232723697,0.27,NULL
REC-000144,CUST-01942,VIC,"Standard Variable",2026-02-12,Peak,16.489334709073773,0.32,1.15
